sensor_data,label
$$$0.7275866205636174/0.5896385263860406/0.5513979676022148/0.4246575413274058/0.47887323028783507/0.9652173865201719 $$$0.3465511983351208/0.6129086539370685/0.0/0.4520548042477494/0.0/0.7826086939229536 $$$1.0/0.6080270771371991/0.299262046042298/0.5205479589379992/0.408450699027179/0.6086956331524904 $$$0.7751576486883036/0.4654619582688809/0.687071625759571/0.5479452166371244/0.8309859281954025/0.5478260512769442,Normal
$$$0.7247258789567796/0.5867777847792028/0.548537225995377/0.42179679972056794/0.4760124886809972/0.9623566449133341 $$$0.34369045672828297/0.6100479123302307/-0.002860741606837856/0.44919406264091155/-0.002860741606837856/0.7797479523161158 $$$0.9971392583931622/0.6051663355303613/0.29640130443546014/0.5176872173311614/0.40558995742034115/0.6058348915456526 $$$0.7722969070814658/0.46260121666204307/0.6842108841527332/0.5450844750302866/0.8281251865885647/0.5449653096701064,Normal
$$$0.3465511983351208/0.6129086539370685/0.0/0.4520548042477494/0.0/0.7826086939229536 $$$1.0/0.6080270771371991/0.299262046042298/0.5205479589379992/0.408450699027179/0.6086956331524904 $$$0.7751576486883036/0.4654619582688809/0.687071625759571/0.5479452166371244/0.8309859281954025/0.5478260512769442 $$$0.5883023696995365/0.42934811163791486/0.575374034174745/0.554794536283124/0.15492955508429082/0.3826086488479461,Normal
$$$0.3424169350331139/0.6087743906350616/-0.004134263302006926/0.44792054094574246/-0.004134263302006926/0.7784744306209467 $$$0.995865736697993/0.6038928138351921/0.29512778274029106/0.5164136956359923/0.40431643572517206/0.6045613698504835 $$$0.7710233853862967/0.461327694966874/0.6829373624575641/0.5438109533351174/0.8268516648933956/0.5436917879749372 $$$0.5841681063975296/0.4252138483359079/0.571239770872738/0.5506602729811171/0.1507952917822839/0.37847438554593915,Normal
$$$1.0/0.6080270771371991/0.299262046042298/0.5205479589379992/0.408450699027179/0.6086956331524904 $$$0.7751576486883036/0.4654619582688809/0.687071625759571/0.5479452166371244/0.8309859281954025/0.5478260512769442 $$$0.5883023696995365/0.42934811163791486/0.575374034174745/0.554794536283124/0.15492955508429082/0.3826086488479461 $$$0.0/0.6961763202475437/0.8644403766520173/0.4657534383185304/0.49295773090325645/0.19130432442397305,Normal
$$$0.9918660336158498/0.5998931107530489/0.29112807965814774/0.512413992553849/0.40031673264302875/0.6005616667683402 $$$0.7670236823041534/0.45732799188473067/0.6789376593754208/0.5398112502529742/0.8228519618112523/0.539692084892794 $$$0.5801684033153863/0.4212141452537646/0.5672400677905948/0.5466605698989738/0.14679558870014056/0.37447468246379584 $$$-0.008133966384150258/0.6880423538633935/0.8563064102678671/0.45761947193438013/0.4848237645191062/0.1831703580398228,Normal
$$$0.7751576486883036/0.4654619582688809/0.687071625759571/0.5479452166371244/0.8309859281954025/0.5478260512769442 $$$0.5883023696995365/0.42934811163791486/0.575374034174745/0.554794536283124/0.15492955508429082/0.3826086488479461 $$$0.0/0.6961763202475437/0.8644403766520173/0.4657534383185304/0.49295773090325645/0.19130432442397305 $$$0.8343825078120226/0.0/0.6057201843595805/0.38356165673667497/0.8309859281954025/0.12173911072167189,Normal
$$$0.7834663251233548/0.47377063470393216/0.6953803021946222/0.5562538930721755/0.8392946046304537/0.5561347277119953 $$$0.5966110461345877/0.4376567880729661/0.5836827106097962/0.5631032127181752/0.16323823151934205/0.39091732528299733 $$$0.00830867643505122/0.7044849966825949/0.8727490530870685/0.4740621147535816/0.5012664073383076/0.19961300085902428 $$$0.8426911842470738/0.00830867643505122/0.6140288607946317/0.3918703331717262/0.8392946046304537/0.1300477871567231,Normal
$$$0.5883023696995365/0.42934811163791486/0.575374034174745/0.554794536283124/0.15492955508429082/0.3826086488479461 $$$0.0/0.6961763202475437/0.8644403766520173/0.4657534383185304/0.49295773090325645/0.19130432442397305 $$$0.8343825078120226/0.0/0.6057201843595805/0.38356165673667497/0.8309859281954025/0.12173911072167189 $$$0.2817455384202612/0.37782608455321354/0.32289898300782177/0.431506866194624/1.0/0.16521734939957736,Normal
$$$0.5908765427582738/0.43192228469665217/0.5779482072334823/0.5573687093418613/0.1575037281430281/0.3851828219066834 $$$0.0025741730587372866/0.698750493306281/0.8670145497107546/0.4683276113772677/0.49553190396199376/0.19387849748271033 $$$0.8369566808707599/0.0025741730587372866/0.6082943574183178/0.3861358297954123/0.8335601012541398/0.12431328378040918 $$$0.2843197114789985/0.38040025761195084/0.3254731560665591/0.4340810392533613/1.0025741730587372/0.16779152245831463,Normal
$$$0.0/0.6961763202475437/0.8644403766520173/0.4657534383185304/0.49295773090325645/0.19130432442397305 $$$0.8343825078120226/0.0/0.6057201843595805/0.38356165673667497/0.8309859281954025/0.12173911072167189 $$$0.2817455384202612/0.37782608455321354/0.32289898300782177/0.431506866194624/1.0/0.16521734939957736 $$$0.5939656137556215/1.0/0.3021823287692967/0.9246575256637505/0.535211259590996/0.0956521356972762,Normal
$$$0.0018635709963987761/0.6980398912439425/0.8663039476484161/0.46761700931492917/0.49482130189965523/0.19316789542037183 $$$0.8362460788084214/0.0018635709963987761/0.6075837553559793/0.38542522773307375/0.8328494991918013/0.12360268171807066 $$$0.28360910941665995/0.3796896555496123/0.32476255400422055/0.43337043719102275/1.0018635709963988/0.16708092039597613 $$$0.5958291847520203/1.0018635709963988/0.30404589976569546/0.9265210966601493/0.5370748305873948/0.09751570669367497,Normal
