accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis
"[0.0, 0.8343825078120226, 0.2817455384202612, 0.5939656137556215]","[0.6961763202475437, 0.0, 0.3778260845532135, 1.0]","[0.8644403766520173, 0.6057201843595805, 0.3228989830078217, 0.3021823287692967]","[0.4657534383185304, 0.3835616567366749, 0.431506866194624, 0.9246575256637504]","[0.4929577309032564, 0.8309859281954025, 1.0, 0.535211259590996]","[0.191304324423973, 0.1217391107216718, 0.1652173493995773, 0.0956521356972762]"
"[0.8343825078120226, 0.2817455384202612, 0.5939656137556215, 0.5980530803144054]","[0.0, 0.3778260845532135, 1.0, 0.244310155875659]","[0.6057201843595805, 0.3228989830078217, 0.3021823287692967, 0.1071956956321693]","[0.3835616567366749, 0.431506866194624, 0.9246575256637504, 0.0]","[0.8309859281954025, 1.0, 0.535211259590996, 0.9718309665593866]","[0.1217391107216718, 0.1652173493995773, 0.0956521356972762, 0.0]"
"[0.2817455384202612, 0.5939656137556215, 0.5980530803144054, 0.289155402534263]","[0.3778260845532135, 1.0, 0.244310155875659, 0.7598249319013142]","[0.3228989830078217, 0.3021823287692967, 0.1071956956321693, 1.0]","[0.431506866194624, 0.9246575256637504, 0.0, 1.0]","[1.0, 0.535211259590996, 0.9718309665593866, 0.76056338754023]","[0.1652173493995773, 0.0956521356972762, 0.0, 0.0]"
"[0.5939656137556215, 0.5980530803144054, 0.289155402534263, 0.3569560318212405]","[1.0, 0.244310155875659, 0.7598249319013142, 0.4712251410060072]","[0.3021823287692967, 0.1071956956321693, 1.0, 0.0476624080092644]","[0.9246575256637504, 0.0, 1.0, 0.1328124964639501]","[0.535211259590996, 0.9718309665593866, 0.76056338754023, 0.3370786612610325]","[0.0956521356972762, 0.0, 0.0, 1.0]"
"[0.5980530803144054, 0.289155402534263, 0.3569560318212405, 0.0]","[0.244310155875659, 0.7598249319013142, 0.4712251410060072, 0.5248227256976803]","[0.1071956956321693, 1.0, 0.0476624080092644, 0.2900706040569315]","[0.0, 1.0, 0.1328124964639501, 0.3203125068859918]","[0.9718309665593866, 0.76056338754023, 0.3370786612610325, 0.0]","[0.0, 0.0, 1.0, 0.901315783905914]"
"[0.289155402534263, 0.3569560318212405, 0.0, 0.261388699735381]","[0.7598249319013142, 0.4712251410060072, 0.5248227256976803, 0.7914028208246946]","[1.0, 0.0476624080092644, 0.2900706040569315, 0.1561171504352049]","[1.0, 0.1328124964639501, 0.3203125068859918, 0.4140625001861079]","[0.76056338754023, 0.3370786612610325, 0.0, 0.2584269717776769]","[0.0, 1.0, 0.901315783905914, 0.8947368424352051]"
"[0.3569560318212405, 0.0, 0.261388699735381, 0.179707181999503]","[0.4712251410060072, 0.5248227256976803, 0.7914028208246946, 0.3871895097679405]","[0.0476624080092644, 0.2900706040569315, 0.1561171504352049, 0.2945823527214315]","[0.1328124964639501, 0.3203125068859918, 0.4140625001861079, 0.4218750055832366]","[0.3370786612610325, 0.0, 0.2584269717776769, 0.2359550727326392]","[1.0, 0.901315783905914, 0.8947368424352051, 0.7236842237734847]"
"[0.0, 0.261388699735381, 0.179707181999503, 0.3210397844745591]","[0.5248227256976803, 0.7914028208246946, 0.3871895097679405, 0.4943632023959812]","[0.2900706040569315, 0.1561171504352049, 0.2945823527214315, 0.4727445926257985]","[0.3203125068859918, 0.4140625001861079, 0.4218750055832366, 0.3515625046526971]","[0.0, 0.2584269717776769, 0.2359550727326392, 0.314606740803133]","[0.901315783905914, 0.8947368424352051, 0.7236842237734847, 0.618421080000263]"
"[0.261388699735381, 0.179707181999503, 0.3210397844745591, 0.3813730355370444]","[0.7914028208246946, 0.3871895097679405, 0.4943632023959812, 0.1320863284700191]","[0.1561171504352049, 0.2945823527214315, 0.4727445926257985, 0.8017109342896634]","[0.4140625001861079, 0.4218750055832366, 0.3515625046526971, 0.3125000133997679]","[0.2584269717776769, 0.2359550727326392, 0.314606740803133, 0.6853932591968669]","[0.8947368424352051, 0.7236842237734847, 0.618421080000263, 0.427631606835711]"
"[0.179707181999503, 0.3210397844745591, 0.3813730355370444, 0.7610879126416403]","[0.3871895097679405, 0.4943632023959812, 0.1320863284700191, 0.3345841892010471]","[0.2945823527214315, 0.4727445926257985, 0.8017109342896634, 0.5716472412118495]","[0.4218750055832366, 0.3515625046526971, 0.3125000133997679, 0.1640625106081496]","[0.2359550727326392, 0.314606740803133, 0.6853932591968669, 0.6067415739960836]","[0.7236842237734847, 0.618421080000263, 0.427631606835711, 0.4407895098375987]"
"[0.3210397844745591, 0.3813730355370444, 0.7610879126416403, 0.6767713515310944]","[0.4943632023959812, 0.1320863284700191, 0.3345841892010471, 0.481796838621619]","[0.4727445926257985, 0.8017109342896634, 0.5716472412118495, 0.7007023049049274]","[0.3515625046526971, 0.3125000133997679, 0.1640625106081496, 0.671875011538689]","[0.314606740803133, 0.6853932591968669, 0.6067415739960836, 0.7865168520078326]","[0.618421080000263, 0.427631606835711, 0.4407895098375987, 0.3157895115615453]"
"[0.3813730355370444, 0.7610879126416403, 0.6767713515310944, 1.0]","[0.1320863284700191, 0.3345841892010471, 0.481796838621619, 0.3552417454000913]","[0.8017109342896634, 0.5716472412118495, 0.7007023049049274, 0.6518650304456648]","[0.3125000133997679, 0.1640625106081496, 0.671875011538689, 0.1250000029777262]","[0.6853932591968669, 0.6067415739960836, 0.7865168520078326, 0.7528089991577037]","[0.427631606835711, 0.4407895098375987, 0.3157895115615453, 0.2631578995539944]"
"[0.7610879126416403, 0.6767713515310944, 1.0, 0.5929495873520819]","[0.3345841892010471, 0.481796838621619, 0.3552417454000913, 0.5162546812521257]","[0.5716472412118495, 0.7007023049049274, 0.6518650304456648, 0.0]","[0.1640625106081496, 0.671875011538689, 0.1250000029777262, 0.6171875214024071]","[0.6067415739960836, 0.7865168520078326, 0.7528089991577037, 0.6853932591968669]","[0.4407895098375987, 0.3157895115615453, 0.2631578995539944, 0.2434210450511628]"
"[0.6767713515310944, 1.0, 0.5929495873520819, 0.5054668727399814]","[0.481796838621619, 0.3552417454000913, 0.5162546812521257, 0.4490468884204701]","[0.7007023049049274, 0.6518650304456648, 0.0, 0.1490184541820763]","[0.671875011538689, 0.1250000029777262, 0.6171875214024071, 0.0]","[0.7865168520078326, 0.7528089991577037, 0.6853932591968669, 0.7078651839373388]","[0.3157895115615453, 0.2631578995539944, 0.2434210450511628, 0.2302632222911551]"
"[1.0, 0.5929495873520819, 0.5054668727399814, 0.7742142887554984]","[0.3552417454000913, 0.5162546812521257, 0.4490468884204701, 0.4895010891697267]","[0.6518650304456648, 0.0, 0.1490184541820763, 0.6779212895513467]","[0.1250000029777262, 0.6171875214024071, 0.0, 0.6640625061415603]","[0.7528089991577037, 0.6853932591968669, 0.7078651839373388, 0.5730337211459547]","[0.2631578995539944, 0.2434210450511628, 0.2302632222911551, 0.2434210450511628]"
"[0.5929495873520819, 0.5054668727399814, 0.7742142887554984, 0.856052707954356]","[0.5162546812521257, 0.4490468884204701, 0.4895010891697267, 0.4296760160406743]","[0.0, 0.1490184541820763, 0.6779212895513467, 1.0]","[0.6171875214024071, 0.0, 0.6640625061415603, 0.2656250107942575]","[0.6853932591968669, 0.7078651839373388, 0.5730337211459547, 0.3483146107835514]","[0.2434210450511628, 0.2302632222911551, 0.2434210450511628, 0.1118420952741656]"
"[0.5054668727399814, 0.7742142887554984, 0.856052707954356, 0.4226936294071984]","[0.4490468884204701, 0.4895010891697267, 0.4296760160406743, 0.7335835925755838]","[0.1490184541820763, 0.6779212895513467, 1.0, 0.4713969516978594]","[0.0, 0.6640625061415603, 0.2656250107942575, 0.4140625001861079]","[0.7078651839373388, 0.5730337211459547, 0.3483146107835514, 0.5842696663859013]","[0.2302632222911551, 0.2434210450511628, 0.1118420952741656, 0.2039474162873797]"
"[0.7742142887554984, 0.856052707954356, 0.4226936294071984, 0.3558110012994627]","[0.4895010891697267, 0.4296760160406743, 0.7335835925755838, 0.2018746945617092]","[0.6779212895513467, 1.0, 0.4713969516978594, 0.482628226680115]","[0.6640625061415603, 0.2656250107942575, 0.4140625001861079, 0.2265625135858758]","[0.5730337211459547, 0.3483146107835514, 0.5842696663859013, 0.4606741659647531]","[0.2434210450511628, 0.1118420952741656, 0.2039474162873797, 0.092105321013214]"
"[0.856052707954356, 0.4226936294071984, 0.3558110012994627, 0.2959022356916942]","[0.4296760160406743, 0.7335835925755838, 0.2018746945617092, 0.0]","[1.0, 0.4713969516978594, 0.482628226680115, 0.543759572639994]","[0.2656250107942575, 0.4140625001861079, 0.2265625135858758, 0.046874996650058]","[0.3483146107835514, 0.5842696663859013, 0.4606741659647531, 1.0]","[0.1118420952741656, 0.2039474162873797, 0.092105321013214, 0.0]"
"[0.4226936294071984, 0.3558110012994627, 0.2959022356916942, 0.114156381834128]","[0.7335835925755838, 0.2018746945617092, 0.0, 1.0]","[0.4713969516978594, 0.482628226680115, 0.543759572639994, 0.4063403563823826]","[0.4140625001861079, 0.2265625135858758, 0.046874996650058, 1.0]","[0.5842696663859013, 0.4606741659647531, 1.0, 0.0898876647013085]","[0.2039474162873797, 0.092105321013214, 0.0, 0.0328947575047193]"
"[0.3558110012994627, 0.2959022356916942, 0.114156381834128, 0.4664051190611313]","[0.2018746945617092, 0.0, 1.0, 0.3198185711005543]","[0.482628226680115, 0.543759572639994, 0.4063403563823826, 0.3956400012750087]","[0.2265625135858758, 0.046874996650058, 1.0, 0.4521739078558178]","[0.4606741659647531, 1.0, 0.0898876647013085, 0.4358974421622114]","[0.092105321013214, 0.0, 0.0328947575047193, 1.0]"
"[0.2959022356916942, 0.114156381834128, 0.4664051190611313, 0.5428451216737404]","[0.0, 1.0, 0.3198185711005543, 0.2536076779323052]","[0.543759572639994, 0.4063403563823826, 0.3956400012750087, 0.3481076744902621]","[0.046874996650058, 1.0, 0.4521739078558178, 0.3913043553193743]","[1.0, 0.0898876647013085, 0.4358974421622114, 0.1282051352216768]","[0.0, 0.0328947575047193, 1.0, 0.9857142815916544]"
"[0.114156381834128, 0.4664051190611313, 0.5428451216737404, 0.7107132107199902]","[1.0, 0.3198185711005543, 0.2536076779323052, 0.245523250512987]","[0.4063403563823826, 0.3956400012750087, 0.3481076744902621, 0.4483812701212321]","[1.0, 0.4521739078558178, 0.3913043553193743, 0.5652173947627881]","[0.0898876647013085, 0.4358974421622114, 0.1282051352216768, 0.1666666796973998]","[0.0328947575047193, 1.0, 0.9857142815916544, 0.8928571418848241]"
