accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis
"[0.3915937433962378, 0.3303727448389936, 0.6812017212729697, 0.7082894222743851]","[0.8162223491031375, 0.8623034659601863, 0.7411680640344661, 0.8733723439269758]","[0.343992650203545, 0.8986076570939792, 0.6768191010227411, 0.6425263869308792]","[0.0, 0.8910890969544494, 0.4851485012136688, 0.5049504889031466]","[0.0, 0.8874172220200421, 0.377483440365344, 0.7350993376146138]","[0.674418610886834, 0.8139534805388532, 0.5813953533722429, 0.7674418728333897]"
"[0.3303727448389936, 0.6812017212729697, 0.7082894222743851, 0.3602643937309298]","[0.8623034659601863, 0.7411680640344661, 0.8733723439269758, 0.4723805361281394]","[0.8986076570939792, 0.6768191010227411, 0.6425263869308792, 0.561262031859678]","[0.8910890969544494, 0.4851485012136688, 0.5049504889031466, 0.465346511637315]","[0.8874172220200421, 0.377483440365344, 0.7350993376146138, 0.5099337753442851]","[0.8139534805388532, 0.5813953533722429, 0.7674418728333897, 0.5813953533722429]"
"[0.6812017212729697, 0.7082894222743851, 0.3602643937309298, 0.4882949029218464]","[0.7411680640344661, 0.8733723439269758, 0.4723805361281394, 0.6815218197245718]","[0.6768191010227411, 0.6425263869308792, 0.561262031859678, 0.5249782198919707]","[0.4851485012136688, 0.5049504889031466, 0.465346511637315, 0.5247524614976168]","[0.377483440365344, 0.7350993376146138, 0.5099337753442851, 0.4105960155910216]","[0.5813953533722429, 0.7674418728333897, 0.5813953533722429, 0.4883720847777402]"
"[0.7082894222743851, 0.3602643937309298, 0.4882949029218464, 0.3534192664902116]","[0.8733723439269758, 0.4723805361281394, 0.6815218197245718, 0.5774886673786778]","[0.6425263869308792, 0.561262031859678, 0.5249782198919707, 0.7860887150000264]","[0.5049504889031466, 0.465346511637315, 0.5247524614976168, 0.2178217759010859]","[0.7350993376146138, 0.5099337753442851, 0.4105960155910216, 0.470198670180897]","[0.7674418728333897, 0.5813953533722429, 0.4883720847777402, 0.65116280481812]"
"[0.3602643937309298, 0.4882949029218464, 0.3534192664902116, 0.1221448183176768]","[0.4723805361281394, 0.6815218197245718, 0.5774886673786778, 0.5590277634974731]","[0.561262031859678, 0.5249782198919707, 0.7860887150000264, 0.5988684903877123]","[0.465346511637315, 0.5247524614976168, 0.2178217759010859, 0.5841584113579185]","[0.5099337753442851, 0.4105960155910216, 0.470198670180897, 0.6556291348603335]","[0.5813953533722429, 0.4883720847777402, 0.65116280481812, 0.8139534805388532]"
"[0.4882949029218464, 0.3534192664902116, 0.1221448183176768, 0.3990127239055428]","[0.6815218197245718, 0.5774886673786778, 0.5590277634974731, 0.4992991324377065]","[0.5249782198919707, 0.7860887150000264, 0.5988684903877123, 0.7319061422544656]","[0.5247524614976168, 0.2178217759010859, 0.5841584113579185, 0.5841584113579185]","[0.4105960155910216, 0.470198670180897, 0.6556291348603335, 0.5695364210995821]","[0.4883720847777402, 0.65116280481812, 0.8139534805388532, 0.4418604416165594]"
"[0.3534192664902116, 0.1221448183176768, 0.3990127239055428, 0.337261427439526]","[0.5774886673786778, 0.5590277634974731, 0.4992991324377065, 0.569829406891305]","[0.7860887150000264, 0.5988684903877123, 0.7319061422544656, 0.5573521265255214]","[0.2178217759010859, 0.5841584113579185, 0.5841584113579185, 0.6459627122928633]","[0.470198670180897, 0.6556291348603335, 0.5695364210995821, 0.463917525530142]","[0.65116280481812, 0.8139534805388532, 0.4418604416165594, 0.53703704697096]"
"[0.1221448183176768, 0.3990127239055428, 0.337261427439526, 0.3310081062437885]","[0.5590277634974731, 0.4992991324377065, 0.569829406891305, 0.5821420068939387]","[0.5988684903877123, 0.7319061422544656, 0.5573521265255214, 0.5075747877892586]","[0.5841584113579185, 0.5841584113579185, 0.6459627122928633, 0.6459627122928633]","[0.6556291348603335, 0.5695364210995821, 0.463917525530142, 0.4329896936382956]","[0.8139534805388532, 0.4418604416165594, 0.53703704697096, 0.5740740692378221]"
"[0.3990127239055428, 0.337261427439526, 0.3310081062437885, 0.3450418206899052]","[0.4992991324377065, 0.569829406891305, 0.5821420068939387, 0.587735129638344]","[0.7319061422544656, 0.5573521265255214, 0.5075747877892586, 0.4952760241526512]","[0.5841584113579185, 0.6459627122928633, 0.6459627122928633, 0.6024844472289098]","[0.5695364210995821, 0.463917525530142, 0.4329896936382956, 0.3711340298546029]","[0.4418604416165594, 0.53703704697096, 0.5740740692378221, 0.4074074178641684]"
"[0.337261427439526, 0.3310081062437885, 0.3450418206899052, 0.4130215986200469]","[0.569829406891305, 0.5821420068939387, 0.587735129638344, 0.5379238113057707]","[0.5573521265255214, 0.5075747877892586, 0.4952760241526512, 0.4854842528471301]","[0.6459627122928633, 0.6459627122928633, 0.6024844472289098, 0.6024844472289098]","[0.463917525530142, 0.4329896936382956, 0.3711340298546029, 0.4536082482328599]","[0.53703704697096, 0.5740740692378221, 0.4074074178641684, 0.4444444648351284]"
"[0.3310081062437885, 0.3450418206899052, 0.4130215986200469, 0.2985800476528433]","[0.5821420068939387, 0.587735129638344, 0.5379238113057707, 0.6264918680823908]","[0.5075747877892586, 0.4952760241526512, 0.4854842528471301, 0.4602081494815521]","[0.6459627122928633, 0.6024844472289098, 0.6024844472289098, 0.6211179908365163]","[0.4329896936382956, 0.3711340298546029, 0.4536082482328599, 0.4329896936382956]","[0.5740740692378221, 0.4074074178641684, 0.4444444648351284, 0.53703704697096]"
"[0.3450418206899052, 0.4130215986200469, 0.2985800476528433, 0.2563586967182128]","[0.587735129638344, 0.5379238113057707, 0.6264918680823908, 0.6386176927382461]","[0.4952760241526512, 0.4854842528471301, 0.4602081494815521, 0.6293157258553285]","[0.6024844472289098, 0.6024844472289098, 0.6211179908365163, 0.7453416022611744]","[0.3711340298546029, 0.4536082482328599, 0.4329896936382956, 0.608247431268315]","[0.4074074178641684, 0.4444444648351284, 0.53703704697096, 0.5740740692378221]"
"[0.4130215986200469, 0.2985800476528433, 0.2563586967182128, 0.2096321289057856]","[0.5379238113057707, 0.6264918680823908, 0.6386176927382461, 0.8451488023760909]","[0.4854842528471301, 0.4602081494815521, 0.6293157258553285, 0.3893796637933867]","[0.6024844472289098, 0.6211179908365163, 0.7453416022611744, 0.6583850780517294]","[0.4536082482328599, 0.4329896936382956, 0.608247431268315, 0.54639175176714]","[0.4444444648351284, 0.53703704697096, 0.5740740692378221, 0.6851851925049178]"
"[0.2985800476528433, 0.2563586967182128, 0.2096321289057856, 0.4666700728716875]","[0.6264918680823908, 0.6386176927382461, 0.8451488023760909, 0.7533198491450235]","[0.4602081494815521, 0.6293157258553285, 0.3893796637933867, 0.5356490255808395]","[0.6211179908365163, 0.7453416022611744, 0.6583850780517294, 0.6583850780517294]","[0.4329896936382956, 0.608247431268315, 0.54639175176714, 0.6185567046362266]","[0.53703704697096, 0.5740740692378221, 0.6851851925049178, 0.611111119737939]"
"[0.2563586967182128, 0.2096321289057856, 0.4666700728716875, 0.1665801446882266]","[0.6386176927382461, 0.8451488023760909, 0.7533198491450235, 0.9140415226389076]","[0.6293157258553285, 0.3893796637933867, 0.5356490255808395, 0.4222979594009953]","[0.7453416022611744, 0.6583850780517294, 0.6583850780517294, 0.6645962553086237]","[0.608247431268315, 0.54639175176714, 0.6185567046362266, 0.6494845404574435]","[0.5740740692378221, 0.6851851925049178, 0.611111119737939, 0.6666666760777515]"
"[0.2096321289057856, 0.4666700728716875, 0.1665801446882266, 0.5769166828639971]","[0.8451488023760909, 0.7533198491450235, 0.9140415226389076, 0.5294300922190878]","[0.3893796637933867, 0.5356490255808395, 0.4222979594009953, 0.7277568137971817]","[0.6583850780517294, 0.6583850780517294, 0.6645962553086237, 0.5962732723394004]","[0.54639175176714, 0.6185567046362266, 0.6494845404574435, 0.54639175176714]","[0.6851851925049178, 0.611111119737939, 0.6666666760777515, 0.5185185358375289]"
"[0.4666700728716875, 0.1665801446882266, 0.5769166828639971, 0.6449728501535923]","[0.7533198491450235, 0.9140415226389076, 0.5294300922190878, 0.5761404574901652]","[0.5356490255808395, 0.4222979594009953, 0.7277568137971817, 0.7087532895072225]","[0.6583850780517294, 0.6645962553086237, 0.5962732723394004, 0.6832297965488454]","[0.6185567046362266, 0.6494845404574435, 0.54639175176714, 0.6804123644905488]","[0.611111119737939, 0.6666666760777515, 0.5185185358375289, 0.4814814835728336]"
"[0.1665801446882266, 0.5769166828639971, 0.6449728501535923, 0.4995505055053091]","[0.9140415226389076, 0.5294300922190878, 0.5761404574901652, 0.6150584896089272]","[0.4222979594009953, 0.7277568137971817, 0.7087532895072225, 0.6274499252886779]","[0.6645962553086237, 0.5962732723394004, 0.6832297965488454, 0.7329192335430773]","[0.6494845404574435, 0.54639175176714, 0.6804123644905488, 0.2680412568817817]","[0.6666666760777515, 0.5185185358375289, 0.4814814835728336, 0.388888901437002]"
"[0.5769166828639971, 0.6449728501535923, 0.4995505055053091, 0.5433195745184192]","[0.5294300922190878, 0.5761404574901652, 0.6150584896089272, 0.417900306812942]","[0.7277568137971817, 0.7087532895072225, 0.6274499252886779, 0.6155776788172161]","[0.5962732723394004, 0.6832297965488454, 0.7329192335430773, 0.515527932489004]","[0.54639175176714, 0.6804123644905488, 0.2680412568817817, 0.8969072113096966]","[0.5185185358375289, 0.4814814835728336, 0.388888901437002, 0.462962974203981]"
"[0.6449728501535923, 0.4995505055053091, 0.5433195745184192, 0.4820985692259043]","[0.5761404574901652, 0.6150584896089272, 0.417900306812942, 0.7246946815361881]","[0.7087532895072225, 0.6274499252886779, 0.6155776788172161, 0.5642517369391128]","[0.6832297965488454, 0.7329192335430773, 0.515527932489004, 0.7080745197807309]","[0.6804123644905488, 0.2680412568817817, 0.8969072113096966, 0.3195876355094512]","[0.4814814835728336, 0.388888901437002, 0.462962974203981, 0.462962974203981]"
"[0.4995505055053091, 0.5433195745184192, 0.4820985692259043, 0.3821258037739483]","[0.6150584896089272, 0.417900306812942, 0.7246946815361881, 0.8559160429940319]","[0.6274499252886779, 0.6155776788172161, 0.5642517369391128, 0.5215456350802227]","[0.7329192335430773, 0.515527932489004, 0.7080745197807309, 0.54037265098612]","[0.2680412568817817, 0.8969072113096966, 0.3195876355094512, 0.8453608169645449]","[0.388888901437002, 0.462962974203981, 0.462962974203981, 0.4259259201747074]"
"[0.5433195745184192, 0.4820985692259043, 0.3821258037739483, 1.0]","[0.417900306812942, 0.7246946815361881, 0.8559160429940319, 0.5010166584325736]","[0.6155776788172161, 0.5642517369391128, 0.5215456350802227, 0.7476218689498839]","[0.515527932489004, 0.7080745197807309, 0.54037265098612, 0.2981366219653915]","[0.8969072113096966, 0.3195876355094512, 0.8453608169645449, 0.7113402042411362]","[0.462962974203981, 0.462962974203981, 0.4259259201747074, 0.2962963193011705]"
"[0.4820985692259043, 0.3821258037739483, 1.0, 0.2450263793587165]","[0.7246946815361881, 0.8559160429940319, 0.5010166584325736, 0.715213711492254]","[0.5642517369391128, 0.5215456350802227, 0.7476218689498839, 0.0]","[0.7080745197807309, 0.54037265098612, 0.2981366219653915, 0.6583850780517294]","[0.3195876355094512, 0.8453608169645449, 0.7113402042411362, 0.4020618538877082]","[0.462962974203981, 0.4259259201747074, 0.2962963193011705, 0.1111111267962526]"
"[0.3821258037739483, 1.0, 0.2450263793587165, 0.544193097292163]","[0.8559160429940319, 0.5010166584325736, 0.715213711492254, 0.4030027415204957]","[0.5215456350802227, 0.7476218689498839, 0.0, 0.7721095101452198]","[0.54037265098612, 0.2981366219653915, 0.6583850780517294, 0.577639738201333]","[0.8453608169645449, 0.7113402042411362, 0.4020618538877082, 0.6701030950520077]","[0.4259259201747074, 0.2962963193011705, 0.1111111267962526, 0.0]"
"[1.0, 0.2450263793587165, 0.544193097292163, 0.5968317835905885]","[0.5010166584325736, 0.715213711492254, 0.4030027415204957, 0.5201389828963919]","[0.7476218689498839, 0.0, 0.7721095101452198, 0.6490697619093473]","[0.2981366219653915, 0.6583850780517294, 0.577639738201333, 0.8260869326420317]","[0.7113402042411362, 0.4020618538877082, 0.6701030950520077, 0.6494845404574435]","[0.2962963193011705, 0.1111111267962526, 0.0, 0.0370370610875873]"
"[0.2450263793587165, 0.544193097292163, 0.5968317835905885, 0.490368086563289]","[0.715213711492254, 0.4030027415204957, 0.5201389828963919, 0.0]","[0.0, 0.7721095101452198, 0.6490697619093473, 0.9382694161641542]","[0.6583850780517294, 0.577639738201333, 0.8260869326420317, 0.7639751363992419]","[0.4020618538877082, 0.6701030950520077, 0.6494845404574435, 0.608247431268315]","[0.1111111267962526, 0.0, 0.0370370610875873, 0.1666666901943789]"
"[0.544193097292163, 0.5968317835905885, 0.490368086563289, 0.5869132962845405]","[0.4030027415204957, 0.5201389828963919, 0.0, 0.8831052993675478]","[0.7721095101452198, 0.6490697619093473, 0.9382694161641542, 0.005083088732581]","[0.577639738201333, 0.8260869326420317, 0.7639751363992419, 0.8012422141449158]","[0.6701030950520077, 0.6494845404574435, 0.608247431268315, 0.463917525530142]","[0.0, 0.0370370610875873, 0.1666666901943789, 0.3333333380388757]"
"[0.5968317835905885, 0.490368086563289, 0.5869132962845405, 0.4975240931575343]","[0.5201389828963919, 0.0, 0.8831052993675478, 1.0]","[0.6490697619093473, 0.9382694161641542, 0.005083088732581, 0.1867052363630596]","[0.8260869326420317, 0.7639751363992419, 0.8012422141449158, 0.677018621659336]","[0.6494845404574435, 0.608247431268315, 0.463917525530142, 0.4742268185449063]","[0.0370370610875873, 0.1666666901943789, 0.3333333380388757, 0.7962963051845431]"
"[0.490368086563289, 0.5869132962845405, 0.4975240931575343, 0.5213269061137343]","[0.0, 0.8831052993675478, 1.0, 0.9908091102512834]","[0.9382694161641542, 0.005083088732581, 0.1867052363630596, 0.3190966443910999]","[0.7639751363992419, 0.8012422141449158, 0.677018621659336, 0.7204968742945194]","[0.608247431268315, 0.463917525530142, 0.4742268185449063, 0.1443298978794318]","[0.1666666901943789, 0.3333333380388757, 0.7962963051845431, 0.3703703850098357]"
"[0.5869132962845405, 0.4975240931575343, 0.5213269061137343, 0.6276533716303608]","[0.8831052993675478, 1.0, 0.9908091102512834, 0.7952609970596932]","[0.005083088732581, 0.1867052363630596, 0.3190966443910999, 0.4794155864017464]","[0.8012422141449158, 0.677018621659336, 0.7204968742945194, 0.5279502917375619]","[0.463917525530142, 0.4742268185449063, 0.1443298978794318, 0.2577319717257584]","[0.3333333380388757, 0.7962963051845431, 0.3703703850098357, 0.4814814835728336]"
"[0.4975240931575343, 0.5213269061137343, 0.6276533716303608, 0.1767375983430577]","[1.0, 0.9908091102512834, 0.7952609970596932, 0.5974914142568652]","[0.1867052363630596, 0.3190966443910999, 0.4794155864017464, 0.1938976879706275]","[0.677018621659336, 0.7204968742945194, 0.5279502917375619, 0.3975155148929336]","[0.4742268185449063, 0.1443298978794318, 0.2577319717257584, 0.4432989787943188]","[0.7962963051845431, 0.3703703850098357, 0.4814814835728336, 0.388888901437002]"
"[0.5213269061137343, 0.6276533716303608, 0.1767375983430577, 0.4555099263027037]","[0.9908091102512834, 0.7952609970596932, 0.5974914142568652, 0.8161852904001273]","[0.3190966443910999, 0.4794155864017464, 0.1938976879706275, 0.2502868937422612]","[0.7204968742945194, 0.5279502917375619, 0.3975155148929336, 0.6086956363227279]","[0.1443298978794318, 0.2577319717257584, 0.4432989787943188, 0.6804123644905488]","[0.3703703850098357, 0.4814814835728336, 0.388888901437002, 0.5185185358375289]"
"[0.6276533716303608, 0.1767375983430577, 0.4555099263027037, 0.2975367872580208]","[0.7952609970596932, 0.5974914142568652, 0.8161852904001273, 0.8337523657521893]","[0.4794155864017464, 0.1938976879706275, 0.2502868937422612, 0.4173615744773889]","[0.5279502917375619, 0.3975155148929336, 0.6086956363227279, 0.6024844472289098]","[0.2577319717257584, 0.4432989787943188, 0.6804123644905488, 0.3092783660709102]","[0.4814814835728336, 0.388888901437002, 0.5185185358375289, 0.3703703850098357]"
"[0.1767375983430577, 0.4555099263027037, 0.2975367872580208, 0.7637328100258206]","[0.5974914142568652, 0.8161852904001273, 0.8337523657521893, 0.558807430044506]","[0.1938976879706275, 0.2502868937422612, 0.4173615744773889, 0.4867870279847428]","[0.3975155148929336, 0.6086956363227279, 0.6024844472289098, 0.6397515344441229]","[0.4432989787943188, 0.6804123644905488, 0.3092783660709102, 0.6701030950520077]","[0.388888901437002, 0.5185185358375289, 0.3703703850098357, 0.4259259201747074]"
"[0.4555099263027037, 0.2975367872580208, 0.7637328100258206, 0.2144639486060191]","[0.8161852904001273, 0.8337523657521893, 0.558807430044506, 0.7089831283460128]","[0.2502868937422612, 0.4173615744773889, 0.4867870279847428, 0.0478141132462777]","[0.6086956363227279, 0.6024844472289098, 0.6397515344441229, 0.5527950102346779]","[0.6804123644905488, 0.3092783660709102, 0.6701030950520077, 0.1855670070685603]","[0.5185185358375289, 0.3703703850098357, 0.4259259201747074, 0.2407407559030441]"
"[0.2975367872580208, 0.7637328100258206, 0.2144639486060191, 0.3346144270068046]","[0.8337523657521893, 0.558807430044506, 0.7089831283460128, 0.4297374561208788]","[0.4173615744773889, 0.4867870279847428, 0.0478141132462777, 0.0184387995890027]","[0.6024844472289098, 0.6397515344441229, 0.5527950102346779, 0.6708074325655179]","[0.3092783660709102, 0.6701030950520077, 0.1855670070685603, 1.0]","[0.3703703850098357, 0.4259259201747074, 0.2407407559030441, 0.2962963193011705]"
"[0.7637328100258206, 0.2144639486060191, 0.3346144270068046, 0.726365828744585]","[0.558807430044506, 0.7089831283460128, 0.4297374561208788, 0.4185238830297076]","[0.4867870279847428, 0.0478141132462777, 0.0184387995890027, 0.4936815408591526]","[0.6397515344441229, 0.5527950102346779, 0.6708074325655179, 0.8198757672220615]","[0.6701030950520077, 0.1855670070685603, 1.0, 0.6597938177547256]","[0.4259259201747074, 0.2407407559030441, 0.2962963193011705, 0.4259259201747074]"
"[0.2144639486060191, 0.3346144270068046, 0.726365828744585, 0.579334524505818]","[0.7089831283460128, 0.4297374561208788, 0.4185238830297076, 0.4525425606745774]","[0.0478141132462777, 0.0184387995890027, 0.4936815408591526, 1.0]","[0.5527950102346779, 0.6708074325655179, 0.8198757672220615, 0.6149068135796222]","[0.1855670070685603, 1.0, 0.6597938177547256, 0.7216494893971594]","[0.2407407559030441, 0.2962963193011705, 0.4259259201747074, 0.3148148216117095]"
"[0.3346144270068046, 0.726365828744585, 0.579334524505818, 0.0726310586931815]","[0.4297374561208788, 0.4185238830297076, 0.4525425606745774, 0.6847840956880404]","[0.0184387995890027, 0.4936815408591526, 1.0, 0.4923697026613997]","[0.6708074325655179, 0.8198757672220615, 0.6149068135796222, 0.6521738901416037]","[1.0, 0.6597938177547256, 0.7216494893971594, 0.8556701021205682]","[0.2962963193011705, 0.4259259201747074, 0.3148148216117095, 0.3703703850098357]"
"[0.726365828744585, 0.579334524505818, 0.0726310586931815, 0.0]","[0.4185238830297076, 0.4525425606745774, 0.6847840956880404, 0.580630944752128]","[0.4936815408591526, 1.0, 0.4923697026613997, 0.2529083038887271]","[0.8198757672220615, 0.6149068135796222, 0.6521738901416037, 0.8385093013601288]","[0.6597938177547256, 0.7216494893971594, 0.8556701021205682, 0.3402061901040155]","[0.4259259201747074, 0.3148148216117095, 0.3703703850098357, 0.1851851925049178]"
"[0.579334524505818, 0.0726310586931815, 0.0, 0.5378511180021589]","[0.4525425606745774, 0.6847840956880404, 0.580630944752128, 0.4664933016795952]","[1.0, 0.4923697026613997, 0.2529083038887271, 0.1647999220600613]","[0.6149068135796222, 0.6521738901416037, 0.8385093013601288, 0.0]","[0.7216494893971594, 0.8556701021205682, 0.3402061901040155, 0.0]","[0.3148148216117095, 0.3703703850098357, 0.1851851925049178, 0.4814814835728336]"
"[0.0726310586931815, 0.0, 0.5378511180021589, 0.8847308434618658]","[0.6847840956880404, 0.580630944752128, 0.4664933016795952, 0.532759817317182]","[0.4923697026613997, 0.2529083038887271, 0.1647999220600613, 0.7048823480765941]","[0.6521738901416037, 0.8385093013601288, 0.0, 1.0]","[0.8556701021205682, 0.3402061901040155, 0.0, 0.7525773291477469]","[0.3703703850098357, 0.1851851925049178, 0.4814814835728336, 0.5740740692378221]"
"[0.0, 0.5378511180021589, 0.8847308434618658, 0.2955818326283779]","[0.580630944752128, 0.4664933016795952, 0.532759817317182, 0.5635367030360691]","[0.2529083038887271, 0.1647999220600613, 0.7048823480765941, 0.5438162928457254]","[0.8385093013601288, 0.0, 1.0, 0.4968943888813974]","[0.3402061901040155, 0.0, 0.7525773291477469, 0.5051546425780116]","[0.1851851925049178, 0.4814814835728336, 0.5740740692378221, 0.3148148216117095]"
"[0.5378511180021589, 0.8847308434618658, 0.2955818326283779, 0.4919909401941064]","[0.4664933016795952, 0.532759817317182, 0.5635367030360691, 0.5245394706720558]","[0.1647999220600613, 0.7048823480765941, 0.5438162928457254, 0.1232651849770768]","[0.0, 1.0, 0.4968943888813974, 0.7080745197807309]","[0.0, 0.7525773291477469, 0.5051546425780116, 0.5154639120165526]","[0.4814814835728336, 0.5740740692378221, 0.3148148216117095, 0.3518518826992968]"
"[0.8847308434618658, 0.2955818326283779, 0.4919909401941064, 0.1188462032268648]","[0.532759817317182, 0.5635367030360691, 0.5245394706720558, 0.5707113281231276]","[0.7048823480765941, 0.5438162928457254, 0.1232651849770768, 0.2786885245901639]","[1.0, 0.4968943888813974, 0.7080745197807309, 0.677018621659336]","[0.7525773291477469, 0.5051546425780116, 0.5154639120165526, 0.5773195915177275]","[0.5740740692378221, 0.3148148216117095, 0.3518518826992968, 0.3703703850098357]"
"[0.2955818326283779, 0.4919909401941064, 0.1188462032268648, 0.3563696707810858]","[0.5635367030360691, 0.5245394706720558, 0.5707113281231276, 0.3660606991227123]","[0.5438162928457254, 0.1232651849770768, 0.2786885245901639, 0.5315356546898206]","[0.4968943888813974, 0.7080745197807309, 0.677018621659336, 0.6211179908365163]","[0.5051546425780116, 0.5154639120165526, 0.5773195915177275, 0.6907216575053131]","[0.3148148216117095, 0.3518518826992968, 0.3703703850098357, 0.4259259201747074]"
"[0.4919909401941064, 0.1188462032268648, 0.3563696707810858, 0.1203711298782198]","[0.5245394706720558, 0.5707113281231276, 0.3660606991227123, 0.3002548133632196]","[0.1232651849770768, 0.2786885245901639, 0.5315356546898206, 0.4059424671842271]","[0.7080745197807309, 0.677018621659336, 0.6211179908365163, 0.4285713988100198]","[0.5154639120165526, 0.5773195915177275, 0.6907216575053131, 0.8144329929314397]","[0.3518518826992968, 0.3703703850098357, 0.4259259201747074, 1.0]"
"[0.1188462032268648, 0.3563696707810858, 0.1203711298782198, 0.36627008370942]","[0.5707113281231276, 0.3660606991227123, 0.3002548133632196, 0.5108723447569419]","[0.2786885245901639, 0.5315356546898206, 0.4059424671842271, 0.0]","[0.677018621659336, 0.6211179908365163, 0.4285713988100198, 0.4186851047756038]","[0.5773195915177275, 0.6907216575053131, 0.8144329929314397, 0.6008968588404814]","[0.3703703850098357, 0.4259259201747074, 1.0, 0.8860759540085433]"
"[0.3563696707810858, 0.1203711298782198, 0.36627008370942, 0.4105222562770734]","[0.3660606991227123, 0.3002548133632196, 0.5108723447569419, 0.4468198865714582]","[0.5315356546898206, 0.4059424671842271, 0.0, 0.5202626622017581]","[0.6211179908365163, 0.4285713988100198, 0.4186851047756038, 0.4429065595813091]","[0.6907216575053131, 0.8144329929314397, 0.6008968588404814, 0.5829596316098064]","[0.4259259201747074, 1.0, 0.8860759540085433, 0.8354430429367651]"
"[0.1203711298782198, 0.36627008370942, 0.4105222562770734, 0.3072476366592541]","[0.3002548133632196, 0.5108723447569419, 0.4468198865714582, 0.4681240275123225]","[0.4059424671842271, 0.0, 0.5202626622017581, 0.3220296149016324]","[0.4285713988100198, 0.4186851047756038, 0.4429065595813091, 0.4290657290173943]","[0.8144329929314397, 0.6008968588404814, 0.5829596316098064, 0.5515695029708424]","[1.0, 0.8860759540085433, 0.8354430429367651, 0.9240506424385888]"
"[0.36627008370942, 0.4105222562770734, 0.3072476366592541, 0.5596820537732898]","[0.5108723447569419, 0.4468198865714582, 0.4681240275123225, 0.7122323082489856]","[0.0, 0.5202626622017581, 0.3220296149016324, 0.8190634156550858]","[0.4186851047756038, 0.4429065595813091, 0.4290657290173943, 0.657439426068288]","[0.6008968588404814, 0.5829596316098064, 0.5515695029708424, 0.6188340698338697]","[0.8860759540085433, 0.8354430429367651, 0.9240506424385888, 0.7594936721075114]"
"[0.4105222562770734, 0.3072476366592541, 0.5596820537732898, 0.3576484816233595]","[0.4468198865714582, 0.4681240275123225, 0.7122323082489856, 0.8673241359500149]","[0.5202626622017581, 0.3220296149016324, 0.8190634156550858, 0.1051417957304311]","[0.4429065595813091, 0.4290657290173943, 0.657439426068288, 0.602076109088047]","[0.5829596316098064, 0.5515695029708424, 0.6188340698338697, 0.6188340698338697]","[0.8354430429367651, 0.9240506424385888, 0.7594936721075114, 0.7594936721075114]"
"[0.3072476366592541, 0.5596820537732898, 0.3576484816233595, 0.4207281918130737]","[0.4681240275123225, 0.7122323082489856, 0.8673241359500149, 0.6360155699448471]","[0.3220296149016324, 0.8190634156550858, 0.1051417957304311, 0.9398561113436584]","[0.4290657290173943, 0.657439426068288, 0.602076109088047, 0.4290657290173943]","[0.5515695029708424, 0.6188340698338697, 0.6188340698338697, 0.6233183811281571]","[0.9240506424385888, 0.7594936721075114, 0.7594936721075114, 0.6075949376860091]"
"[0.5596820537732898, 0.3576484816233595, 0.4207281918130737, 0.645527138399492]","[0.7122323082489856, 0.8673241359500149, 0.6360155699448471, 0.5611464100237061]","[0.8190634156550858, 0.1051417957304311, 0.9398561113436584, 0.9150183131017162]","[0.657439426068288, 0.602076109088047, 0.4290657290173943, 0.3910034446369151]","[0.6188340698338697, 0.6188340698338697, 0.6233183811281571, 0.7174887815731477]","[0.7594936721075114, 0.7594936721075114, 0.6075949376860091, 0.6835443145461003]"
"[0.3576484816233595, 0.4207281918130737, 0.645527138399492, 0.3946074655629846]","[0.8673241359500149, 0.6360155699448471, 0.5611464100237061, 0.553153117489598]","[0.1051417957304311, 0.9398561113436584, 0.9150183131017162, 0.6451674340728338]","[0.602076109088047, 0.4290657290173943, 0.3910034446369151, 0.4913494645767289]","[0.6188340698338697, 0.6233183811281571, 0.7174887815731477, 0.708520165821325]","[0.7594936721075114, 0.6075949376860091, 0.6835443145461003, 0.8607594882202304]"
"[0.4207281918130737, 0.645527138399492, 0.3946074655629846, 0.3076616436276224]","[0.6360155699448471, 0.5611464100237061, 0.553153117489598, 0.549389205763016]","[0.9398561113436584, 0.9150183131017162, 0.6451674340728338, 0.4650387191293428]","[0.4290657290173943, 0.3910034446369151, 0.4913494645767289, 0.4325259350098049]","[0.6233183811281571, 0.7174887815731477, 0.708520165821325, 0.5515695029708424]","[0.6075949376860091, 0.6835443145461003, 0.8607594882202304, 0.7721518887184065]"
"[0.645527138399492, 0.3946074655629846, 0.3076616436276224, 0.0]","[0.5611464100237061, 0.553153117489598, 0.549389205763016, 0.3648606095542947]","[0.9150183131017162, 0.6451674340728338, 0.4650387191293428, 0.8221834449560486]","[0.3910034446369151, 0.4913494645767289, 0.4325259350098049, 0.107266424011508]","[0.7174887815731477, 0.708520165821325, 0.5515695029708424, 0.6547085123309032]","[0.6835443145461003, 0.8607594882202304, 0.7721518887184065, 0.7848101342773218]"
"[0.3946074655629846, 0.3076616436276224, 0.0, 0.7807236872194802]","[0.553153117489598, 0.549389205763016, 0.3648606095542947, 0.4982820338586021]","[0.6451674340728338, 0.4650387191293428, 0.8221834449560486, 0.5167952071996651]","[0.4913494645767289, 0.4325259350098049, 0.107266424011508, 0.3633217861467946]","[0.708520165821325, 0.5515695029708424, 0.6547085123309032, 0.5246636693888791]","[0.8607594882202304, 0.7721518887184065, 0.7848101342773218, 0.7468354458472762]"
